trial number, time (seconds),outcome
477,0.0026153,failure
478,0.0007348,success
479,0.00194,success
480,0.0015927,success
481,0.0025314,failure
482,0.0026387,failure
483,0.0026781,success
484,0.0024659,failure
485,0.0024359,failure
486,0.0024256,failure
487,0.0024624,failure
488,0.0018419,success
489,0.0026949,failure
490,0.0025837,failure
491,0.0024724,success
492,0.002565,failure
493,0.0026573,failure
494,0.0026426,failure
495,0.0026134,failure
496,0.0026992,failure
497,0.0024471,failure
498,0.0026792,failure
499,0.0020911,success
500,0.0026304,failure
501,0.0024813,failure
502,0.0024489,failure
503,0.002634,failure
504,0.0026293,failure
505,0.0026146,failure
506,0.0024455,failure
507,0.0029199,success
508,0.0025097,failure
509,0.0028471,failure
510,0.0025892,failure
511,0.0024439,failure
512,0.0024392,failure
513,0.0024142,failure
514,0.002449,failure
515,0.0024638,failure
516,0.0026693,failure
517,0.0026778,failure
518,0.0024381,failure
519,0.0025901,failure
520,0.0025557,failure
521,0.0026467,failure
522,0.0025455,failure
523,0.002464,failure
524,0.000716,success
525,0.0009711,success
526,0.0025909,failure
527,0.0026101,failure
528,0.0024267,failure
529,0.0026523,failure
530,0.0026788,failure
531,0.0024538,failure
532,0.0024378,failure
533,0.0024311,failure
534,0.0024086,failure
535,0.0024922,failure
536,0.0024123,failure
537,0.0024863,failure
538,0.000968,success
539,0.0024378,failure
540,0.0024411,failure
541,0.0028831,success
542,0.0028035,failure
543,0.0026568,failure
544,0.0025557,failure
545,0.0025824,failure
546,0.0024534,failure
547,0.0025874,failure
548,0.0025782,failure
549,0.0024526,failure
550,0.0025857,failure
551,0.0024306,failure
552,0.0025896,failure
553,0.0027038,failure
554,0.0024332,failure
555,0.0024646,failure
556,0.0026217,failure
557,0.0025648,failure
558,0.0025644,failure
559,0.0024938,failure
560,0.0026048,failure
561,0.002421,failure
562,0.0015896,success
563,0.0024375,failure
564,0.0019729,success
565,0.0023644,success
566,0.0013455,success
567,0.0026403,failure
568,0.0025118,failure
569,0.0010587,success
570,0.0025605,failure
571,0.0026092,failure
572,0.0018937,success
573,0.0026097,failure
574,0.0024564,failure
575,0.0024007,failure
576,0.0024256,failure
577,0.0025764,failure
578,0.0024261,failure
579,0.0024462,failure
580,0.0026749,failure
581,0.0027699,failure
582,0.0027198,success
583,0.0026374,failure
584,0.0026812,failure
585,0.0028656,failure
586,0.0026111,failure
587,0.0028145,failure
588,0.0029813,failure
589,0.0026662,failure
590,0.0026576,failure
591,0.0026692,success
592,0.0025834,failure
593,0.0026248,failure
594,0.0024282,failure
595,0.002423,failure
596,0.0024452,failure
597,0.002442,failure
598,0.0026801,failure
599,0.0024569,failure
600,0.0024152,failure
601,0.0024467,failure
602,0.0027381,failure
603,0.0024212,failure
604,0.0029696,success
605,0.002503,failure
